"filename", "language", "Markdown", "PowerShell", "CSS", "HTML", "Python", "pip requirements", "JavaScript", "CMake", "YAML", "Dart", "Swift", "C++", "JSON", "XML", "comment", "blank", "total"
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 60, 14, 93
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 6, 4, 19
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\web\index.html", "HTML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 1, 36
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\windows\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 20, 109
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 12, 110
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 5, 12
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 6, 16
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 7, 16, 72
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 5, 9, 34
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 4, 10, 44
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 6, 2, 17
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 2, 10, 66
"c:\Users\ultra\Desktop\vscode\full-stack\video reviewer\frontend\windows\runner\utils.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 6, 6, 20
